facility id,notification,Attorney,Total
171669,P64252,INT,550
171690,P64301,INT,1100
181065,P64057,INT,1600
143205,P63109,INT,1800
133145,P58288,INT,800
129213,P60043,INT,1000
129213,P60035,INT,1000
175239,P49605,INT,1000
111177,P58843,MJR,5000
111177,P62357,MJR,5000
176952,P54980,NSF,11600
178975,P60332,KCM,33000
18960 ,P62494,KCM,750
139938,P63359,KCM,1900
800089,HRB2320,TRB,830000
800089,HRB2320,INT,830000
107884,P61082,INT,900
74094 ,P60081,INT,600
165926,P64305,INT,1650
181642,P59484,INT,370
181202,P61728,INT,2200
180495,P64300,INT,1050
36471 ,P62159,INT,3800
124273,P60145,INT,800
158340,P64258,INT,700
140977,P64455,INT,550
11811 ,P64450,INT,550
180560,P60670,INT,2250
180560,P63352,INT,1500
155748,P60078,INT,2100
155748,P60078,FAC,2100
180844,P61727,INT,1100
84043 ,P61569,INT,450
36094 ,P64060,INT,600
153188,P62162,INT,600
144695,P62161,INT,1300
3647 ,P64105,INT,100
181839,P61990,INT,250
141479,P62240,INT,1000
25638 ,P37235,MJR,500
25638 ,P55672,MJR,500
172195,P61318,MJR,400
550 ,P53147,KCM,1250
166065,P60339,WBW,12759
76504 ,P58191,NAS,3000
392 ,P59679,NAS,5000
800198,P61012,NSF,6000
800198,P61013,NSF,6000
800198,P61017,NSF,6000
800198,P61011,NSF,20000
800198,P61011,INT,20000
180982,P63955,INT,1150
140146,P56986,INT,3750
180692,P63701,INT,2625
70778 ,P64513,INT,550
162093,P63021,INT,1125
174754,P63105,INT,1755
151829,P62900,INT,880
129981,P61282,INT,420
180983,P63954,INT,400
171954,P60149,INT,500
151106,P63101,INT,1100
11428 ,P63653,INT,2200
70446 ,P63505,INT,500
148152,P59532,INT,750
135419,P63602,INT,1000
135419,P63602,FAC,1000
162367,P63020,INT,600
180654,P36742,INT,550
181251,P63659,INT,1600
134694,P60864,INT,800
165700,P64010,INT,2400
137767,P60420,INT,4500
137767,P63153,INT,4500
137767,P64509,INT,4500
131892,P63056,INT,2000
8451 ,P49174,TRB,8500
8451 ,P51526,TRB,8500
8451 ,P51527,TRB,8500
169678,P61110,NSF,10000
43525 ,P64804,BBB,30780
43525 ,P60301,BBB,30780
160879,P58283,MJR,4400
150530,P61674,TRB,2800
150530,P61957,TRB,2800
108242,P60805,NSF,10000
108242,P60814,NSF,10000
108242,P60829,NSF,10000
108242,P61483,NSF,10000
108242,P61491,NSF,10000
108242,P61491,NSF,66480
135099,P61570,MJR,6000
147098,P64452,MJR,550
179971,P56735,MJR,1460
179971,P60860,MJR,1460
128980,P59793,MJR,600
45063 ,P63251,MJR,3000
181643,P59483,MJR,950
170115,P63112,MJR,500
172726,P63951,MJR,1800
181914,P63055,MJR,800
12989,P64007,MJR,1300
135135,P63956,MJR,1800
46481,P64062,MJR,600
175582,P63554,MJR,1600
152886,P62025,MJR,2600
181500,P61567,MJR,50
114393,P64052,MJR,725
114393,P64058,MJR,725
171843,P64318,MJR,550
180829,P62027,MJR,550
156902,P62160,MJR,900
145127,P62167,MJR,1700
155434,P64282,MJR,900
178463,P61995,MJR,800
172801,P61083,MJR,2400
102953,P60865,MJR,700
169126,P64154,MJR,2400
97616 ,P63063,MJR,1600
182002,P61283,MJR,850
180438,P64321,MJR,500
34636 ,P61986,MJR,800
11818 ,P61986,NSF,7750
131003,P57734,BTG,652000
47771,P57813,VKT,400
47771,P57820,VKT,400
25501,P62380,BTG,1000
13510,P62480,NSF,24000
69699,P58697,NSF,20000
127764,P58695,NSF,20000
127764,P58696,NSF,20000
69781,P60509,NSF,20000
127770,P61229,NSF,20000
127770,P61248,NSF,20000
